客先№,会社名,TEL,FAX,地区名,〒,住所
52530-00,㈱精功舎,0244-36-1580,0244-36-1584,福島,976-0152,福島県相馬市栗津字長沢２４－１
52531-00,プラネット,077-567-3511,077-567-3511,滋賀,525-0072,滋賀県草津市笠山一丁目２番１１７号
52536-00,富国機械工具㈱,0533-89-8100,0533-89-8106,愛知,442-0889,愛知県豊川市南大通４－４０
52536-01,富国機械工具㈱　湖西営業所,053-489-5310,053-489-5311,静岡,431-0441,静岡県湖西市吉美３２５７　湖西グリーンビルＡ棟１階　Ｅ号
52536-02,富国機械工具㈱　浜松支店,053-430-2880,053-430-2882,静岡,433-8118,静岡県浜松市中央区高岡西１－２－１９
52537-00,福仲工業所,07463-6-6078,07463-6-6078,奈良,639-3433,奈良県吉野郡吉野町新子２２５
52538-00,株式会社プロム・マスダ,053-454-6366,053-456-3493,静岡,432-8034,静岡県浜松市中央区塩町８４番地
52543-00,㈱フクヤマ,0533-88-2223,0533-88-2224,愛知,442-0844,愛知県豊川市小田渕町４－３６
52544-00,㈱フジテック,029-302-2288,029-302-2289,茨城,310-0004,茨城県水戸市青柳町３８１５番地
52547-00,プラハード株式会社,06-6224-1300,06-6224-1200,大阪,577-0835,大阪府東大阪市柏田西３－２－３０
52548-00,㈱プラネットカンパニー,0566-52-5120,0566-52-5216,愛知,444-1305,愛知県高浜市神明町４丁目３－２０
52549-00,㈱藤原重機,0425-68-0291,0425-68-0292,東京,190-1222,東京都西多摩郡瑞穂町箱根ヶ崎東松原６番地２１
52552-00,富士通マイクロデバイス㈱　関東営業所,048-526-8667,048-526-6921,埼玉,360-0037,埼玉県熊谷市筑波１－２０４あいおい損保熊谷ビル３Ｆ
52555-00,フジタ鋼機㈱,06-6532-0641,06-6543-1046,大阪,550-0012,大阪府大阪市西区立売堀３丁目２－２１
52555-01,フジタ鋼機㈱東大阪営業所,072-966-9900,072-966-9902,大阪,578-0905,大阪府東大阪市川田４－３－２
52556-00,福和産業㈱　長岡工場,0258-46-0290,0258-46-8201,新潟,940-2045,新潟県長岡市西陵町２６７４－１８
52556-01,福和産業㈱　東京本社,03-3616-6641,,東京,131-0042,東京都墨田区東墨田１－７－１
52557-00,フレア工業,0425-55-9181,,東京,190-1224,東京都西多摩郡瑞穂町南平１－７－１２
52559-00,㈱藤商,0270-62-6818,0270-62-6817,群馬,379-2234,群馬県伊勢崎市東小保方町３４８８－９
52562-00,㈱ファーストフーズ名古屋,0568-79-0233,0568-79-0211,愛知,485-0821,愛知県小牧市本庄白池８１１－１
52564-00,プラスチックコンサルタント事務所,077-578-2744,077-578-2744,滋賀,520-0112,滋賀県大津市日吉台1-22-10
52568-00,㈱ファーストフーズ 本社,0426-43-5381,0426-43-5396,東京,192-0906,東京都八王子市北野町５９８－１０
52568-01,㈱ファーストフーズ 武蔵工場,042-935-0877,042-935-0890,埼玉,358-0032,埼玉県入間市大字狭山ヶ原字桜木２５４－２
52570-00,ふそうテクニカルサービス㈱　中津川,046-286-8141,046-286-8121,神奈川,243-0303,神奈川県愛甲郡愛川町中津字桜台４００１番地
52570-01,ふそうテクニカルサービス㈱　川崎,044-587-2065,044-587-2233,神奈川,211-0024,神奈川県川崎市中原区西加瀬５０　　　　　　　　　　　　　　
52572-00,有限会社　ブレイン,0596-31-1600,0596-31-1601,三重,516-0004,三重県伊勢市神社港572-2
52573-00,㈱古俣工業,0256-88-6265,,新潟,959-0423,新潟県新潟市旗屋谷内４７４－１
52574-00,フジマ機工㈱,03-3759-1385,03-3750-7202,東京,146-0095,東京都大田区多摩川１－３６－１５
52575-00,プラテックモールド,0247-78-2772,0247-78-3697,福島,963-3602,福島県田村市滝根町神俣字五林平１８０
52577-00,㈱フィード,093-291-5350,093-291-5351,福岡,811-4342,福岡県遠賀郡遠賀町尾崎字馬場久保４２０－１
52578-00,プラテックス,03-5735-2033,03-5735-2032,東京,144-0033,東京都大田区東糀谷６ー２－１１３Ｆ
52580-00,㈱福井機工,0776-26-7411,0776-26-7415,福井,918-8239,福井県福井市成和１丁目３２０４
52582-00,㈱富士アセンブリシステム,0575-21-6005,,岐阜,501-3923,岐阜県関市新迫間71番地
52583-00,福昭製作所,03-5435-4115,03-5435-2116,東京,140-0005,東京都品川区広町１－３－２２
52587-00,富士通オートメーション㈱,028-686-5460,,栃木,329-1411,栃木県さくら市鷲宿４４１５－１
52588-00,(有)福井実業,0745-67-0163,0745-67-0704,奈良,635-0212,奈良県高市郡高取町丹生谷８２０番地
52590-00,福研工販㈱,0776-21-7722,0776-21-7740,福井,910-0027,福井県福井市豊岡１丁目１３－１３
52592-00,冨士工業㈱,076-275-0211,076-275-0933,石川,924-8522,石川県白山市旭丘１丁目１２番地（旭丘工業団地）
52595-00,フルウチ製作所,044-850-2071,044-850-2071,神奈川,213-0032,神奈川県川崎市高津区久地３ー１２－２４
52597-00,(有）プラステック,0246-65-5814,,福島,979-0142,福島県いわき市勿来町酒井酒井原42-1
52601-00,富士プリテクノ㈱忍野工場,0555-84-7608,0555-84-7609,山梨,403-0511,山梨県南都留郡忍野村忍草９５０
52602-00,芙蓉実業㈱,0555-22-2550,,山梨,403-0032,山梨県富士吉田市上吉田東３－１１－１４
52603-00,富双シート株式会社,0979-85-0070,0979-85-0071,大分,871-0001,大分県中津市大新田３００－４
52605-00,有限会社プラ和歌山,0738-45-8011,0738-45-8012,和歌山,649-1522,和歌山県日高郡印南町大字古井７０番地
52606-00,藤精工,0235-64-5211,0235-64-5107,山形,997-0000,山形県鶴岡市渡前字松根田12
52608-00,㈱プラス・Ｎ,0276-20-9195,0276-20-9196,群馬,370-0303,群馬県太田市新田小金井町３２０－２４（新田東部工業団地）
52609-00,藤工業㈱,048-421-0782,048-422-2371,埼玉,335-0034,埼玉県戸田市笹目8-8-7
52612-00,藤合成工業所,0567-68-8653,0567-68-3001,愛知,498-0061,愛知県弥富市操出二丁目１０９番地１
52615-00,不二精研㈱,025-543-3434,025-543-7171,新潟,942-0074,新潟県上越市石橋２－５－２０
52616-00,フジプラテック　株式会社,0729-93-5993,0729-93-6240,大阪,581-0027,大阪府八尾市八尾木１－２２４
52617-00,フィロソフィー,0257-23-5977,0257-22-5253,新潟,945-1341,新潟県柏崎市大字茨目２０４０－１
52621-00,フタバ,0573-65-4400,0573-65-6708,岐阜,508-0001,岐阜県中津川市中津川１２１５－４
52624-00,古河工業　株式会社,079-435-1537,079-435-2057,兵庫,675-0125,兵庫県加古川市別府町西脇66-1
52626-00,Ｊ　ｐｌｕｓ㈱,072-963-4470,072-963-4472,大阪,578-0901,大阪府東大阪市加納４－４－１５
52628-00,フルタニモールディング㈱,0829-20-2234,0829-20-2237,広島,738-0039,広島県廿日市市宮内工業団地１－８
52628-01,フルタニ㈱　山口工場,0827-83-0055,,山口,742-0413,山口県岩国市周東町上久原字新神前１４－１３　テクノポート周東工業団地
52628-02,フルタニモールディング㈱　岩国工場,0827-83-0055,0827-83-0056,山口,742-0413,山口県岩国市周東町上久原１４－１１テクノポート周東工業団地
52629-00,たつくる,042-735-3997,042-735-3997,東京,195-0064,東京都町田市小野路町１８５４
52638-00,㈱福島県北機械,024-523-1295,024-521-0808,福島,960-8043,福島県福島市中町４-８
52639-00,フジボウファイバー㈱大分工場,097-532-4237,097-535-1318,大分,870-8541,大分県大分市大字生石961番地
52640-00,（有）フジ化成工業所,0952-45-7031,0952-45-3925,佐賀,840-2203,佐賀県佐賀市川副町早津江１１１－１
52642-00,㈱ふじえ,0725-21-7920,0725-21-7921,大阪,595-0813,大阪府泉北郡忠岡町忠岡南３－１５１４－８
52643-00,船越樹脂工業㈱,072-643-6013,072-643-2662,大阪,567-0053,大阪府茨木市豊原町８－３６
52647-00,㈱藤原鉄工所　,0866-93-8515,0866-93-8516,岡山,719-1122,岡山県総社市下林７００－１２
52648-00,㈱フロンティアエンジニアリング,03-3643-3920,,東京,135-0031,東京都江東区佐賀１－１０－８　第５小崎ビル１０３号室
52649-00,（有）藤商会,0979-22-1853,0979-22-9948,福岡,871-0821,福岡県築上郡吉富町大字幸子５４１－１
52651-00,フジクラフト,082-815-2326,,広島,731-0231,広島県広島市安佐北区亀山2-15-36
52652-00,株式会社ファインテック,0277-78-7788,0277-78-7795,群馬,379-2302,群馬県太田市山之神町76-3
52653-00,双葉産業,027-387-6012,,群馬,370-2136,群馬県多野郡吉井町小棚５６－１
52656-00,深田化工㈱,0276-37-4315,0276-37-1873,群馬,373-0021,群馬県太田市東今泉町１０６１－２
52657-00,静岡フコク㈱　,055-946-0820,055-946-0821,静岡,410-2221,静岡県伊豆の国市南江間５３７－１
52657-01,フコク物産㈱,03-3765-3238,03-3766-5019,東京,143-8531,東京都大田区大森西２丁目３２－７
52659-00,㈱ファーストシステム,0749-38-3824,0749-38-3899,滋賀,522-0244,滋賀県犬上郡甲良町在士６８３－４
52660-00,二葉製作所,0295-53-6544,0295-53-6554,茨城,319-2214,茨城県常陸大宮市鷹巣２０８５－１
52661-00,㈱不二工具,0569-22-5211,0569-21-3621,愛知,475-0862,愛知県半田市住吉町６－１１１
52662-00,㈱福原工業,0287-28-2866,0287-28-2867,栃木,324-0024,栃木県大田原市福原字愛宕窪１５１５－１
52663-00,㈱富士製作所,03-3636-5608,,東京,132-0034,東京都江戸川区小松川４－７１
52665-00,プレテック㈱,0866-62-0770,0866-62-8998,岡山,715-0004,岡山県井原市木之子町２７５０
52666-00,フジタ電業㈱,0594-21-4521,0594-23-3805,三重,511-0834,三重県桑名市大福字寺跡４６３
52667-00,㈱フルヤ金属,03-5977-3388,03-5977-3371,東京,170-0005,東京都豊島区南大塚２－３７－５　ＭＳＢ－２１南大塚ビル
52668-00,富士通テン㈱　神戸本社,078-682-2187,078-682-2099,兵庫,652-8510,兵庫県神戸市兵庫区御所通１－２－２８
52669-00,プリビジョンワールド㈱,03-5297-7070,03-5297-0291,東京,101-0025,東京都千代田区神田佐久間町１－１７　亀谷ビル１０Ｆ
52670-00,プラテック,0555-84-4277,0555-84-7370,山梨,401-0511,山梨県南都留郡忍野村忍草３３０２－９
52671-00,富士テクノロジーシステム㈱　刈谷事業所,0566-62-8225,0566-28-6116,愛知,448-0028,愛知県刈谷市桜町５丁目２４－１
52672-00,プラックス,0296-37-2698,0296-37-2630,茨城,308-0112,茨城県筑西市藤ケ谷１７４８
52673-00,㈱福井機械設計,0748-22-7511,0748-22-7512,滋賀,527-0086,滋賀県東近江市上平木町１３８１
52674-00,ブラザー精工㈱,03-3889-7517,03-3889-7510,東京,123-0845,東京都足立区西新井本町５－９－２１
52675-00,株式会社フクダ　成型部,0772-43-0666,0772-43-1449,京都,629-2302,京都府与謝郡与謝野町下山田５０３
52675-01,株式会社フクダ　本社,0796-56-1044,0796-56-1054,兵庫,668-0345,兵庫県豊岡市但東町中山２７７－１
52676-00,福島学様,090-1114-3042,,大阪,577-0023,大阪府東大阪市荒本７６３－１カーサＡＮ１０５
52678-00,フジデノロ㈱,0568-73-8681,0568-73-8687,愛知,485-0052,愛知県小牧市多気中町４５３番地
52679-00,（有）ブルー工業,0790-27-1262,0790-27-1262,兵庫,679-2304,兵庫県神崎郡市川町下瀬加９７５
52680-00,冨士産業㈱,0862-67-3011,0862-67-3018,岡山,702-8011,岡山県岡山市南区郡２９９２
52681-00,㈱プラテック,0198-62-8535,0198-62-0765,岩手,028-0501,岩手県遠野市青笹町糠前１０－２７－３８
52682-00,プレテクニカ株式会社,072-238-3739,072-233-2655,大阪,590-0015,大阪府堺市堺区南田出井町２－３－１
52684-00,㈱フロンティア　本社,0268-38-0088,0268-38-0038,長野,386-1322,長野県上田市小島３３３
52684-01,㈱フロンティア　関東営業所,0467-31-7442,0467-31-7442,神奈川,248-0025,神奈川県鎌倉市七里ガ浜東５－４－９
52688-00,フレックス淡路（有）,0799-82-0330,,兵庫,656-1721,兵庫県淡路市野島蟇浦１２７
52689-00,シーシービー㈱　藤岡工場,0274-50-8030,0274-50-8031,群馬,375-0004,群馬県藤岡市森５０１－１
52689-01,シーシービー㈱　磐田工場,0538-66-0552,0538-66-0553,静岡,438-0221,静岡県磐田市南平松２－８　３Ｆ
52690-00,藤森商事㈱,03-3980-3031,03-3988-4624,東京,170-0011,東京都豊島区池袋本町１－１－１０
52691-00,㈱フクイ,052-795-6776,052-796-0180,愛知,463-0083,愛知県名古屋市守山区村合町２０８
52692-00,ブイテック,0572-20-2316,0572-20-2317,岐阜,507-0074,岐阜県多治見市大原町２－１７－１
52693-00,福島研磨材商会,024-945-4831,024-946-1996,福島,963-0107,福島県郡山市安積２－１８２
52695-00,ファインテック,0233-28-0039,0233-28-0040,山形,996-0041,山形県新庄市鳥越１５０３－２
52699-00,株式会社フジコソ,089-960-6370,089-960-6371,愛媛,791-0312,愛媛県東温市則之内字惣宮乙２０６０－５
52702-00,ファイナルシステム㈱,052-878-7741,052-878-7742,愛知,458-0008,愛知県名古屋市緑区平手北２－１５０８
52706-02,㈱フジックス,052-625-0750,052-625-0758,愛知,459-8012,愛知県名古屋市緑区茨谷山１０３
52708-00,フジ・クリエイト㈱,03-3523-0560,03-3523-0561,東京,104-0032,東京都中央区八丁堀２－１６－３　ＩＣＭ中央ビル５Ｆ
52708-01,フジ・クリエイト㈱　中日本営業所,052-799-8860,052-799-5012,愛知,465-0025,愛知県名古屋市名東区上社１－１３０４北村第三ビルディング２Ｆ　２Ａ号室
52708-02,フジ・クリエイト㈱　北関東営業所,0276-75-3399,0276-75-3397,群馬,374-0073,群馬県館林市足次町１２２２－３
52708-03,フジ・クリエイト㈱　仙台ｻﾃﾗｲﾄｵﾌｨｽ,022-224-6885,022-224-6887,宮城,980-0014,宮城県仙台市青葉区本町２－１２－２エイ・エム本町ビル４Ｆ
52709-00,㈱フジテック,0277-54-9550,0277-54-9551,群馬,376-0011,群馬県桐生市相生町５－２０４－１０
52710-00,舩岡　功次　様,080-5310-8500,,京都,601-8452,京都府京都市南区唐橋堂の前町4-3番地
52714-00,株式会社深谷商店,052-331-1230,,愛知,460-0025,愛知県名古屋市中区古渡町15-17
52715-00,㈱フロウエル　本社,045-440-0203,045-440-0219,神奈川,221-0056,神奈川県横浜市神奈川区金港町２－６横浜プラザビル１１Ｆ
52715-01,株式会社フロウエル　テクニカルセンター,045-590-3928,045-590-3124,神奈川,224-0025,神奈川県横浜市都筑区早渕１－３０－１４
52715-02,株式会社フロウエル　関西事業所,0749-21-3121,0749-21-3122,滋賀,522-0025,滋賀県彦根市野田山町山田７１９－１
52720-00,プラキン㈱,0182-52-2143,0182-52-2165,秋田,013-0304,秋田県横手市大雄新町南３８-１２
52720-01,プラキン㈱　大森事業所,0182-38-8762,0182-38-8763,秋田,013-0514,秋田県横手市大森町字大中島２５３－１
52721-00,フクダ,048-997-8517,048-997-8517,埼玉,340-0824,埼玉県八潮市垳２１２
52722-00,㈱冨士電機,0265-53-6511,0265-52-1247,長野,395-0042,長野県飯田市松尾町２－２０
52723-00,有限会社プロゲット,052-807-6971,052-807-6972,愛知,470-0124,愛知県日進市浅田町上納87
52724-00,㈱フルタカ,03-3870-5471,,東京,120-0044,東京都足立区千住緑町３－７－４
52725-00,富士成型工業,03-3924-7020,,東京,178-0065,東京都練馬区西大泉５－２１－２４
52726-00,フルヤ産業,0553-23-1062,,山梨,405-0011,山梨県山梨市三ヶ所４８８－３
52727-00,不二電機工業㈱　草津製作所,077-562-1083,077-562-1930,滋賀,525-8521,滋賀県草津市野村３－４－１
52727-01,不二電機工業㈱,0740-25-6338,0740-25-6339,滋賀,520-1512,滋賀県高島市新旭町太田字田字西川原９０５－１
52728-00,㈱富士商会,052-760-3355,052-760-3356,愛知,465-0024,愛知県名古屋市名東区本郷２－１６０　ＩＥＣビル２階
52730-00,㈱プラテックサンキュー,0562-48-8139,0562-48-8130,愛知,474-0055,愛知県大府市一屋町３丁目９８
52731-00,㈱プラスコ(30233-05),0167-45-4300,0167-45-4305,北海道,071-0502,北海道空知郡上富良野町１９７３－４２
52732-00,㈱藤原電子工業,072-991-0346,072-991-2556,大阪,581-0042,大阪府八尾市南木の本２－５２
52733-00,富士ソフト㈱ﾌﾟﾛﾀﾞｸﾄ ｻｰﾋﾞｽ事業本部,045-650-8873,045-650-8673,神奈川,231-8008,神奈川県横浜市中区桜木町１－１　１２Ｆ
52734-00,フナックス,0256-63-6042,0256-64-3601,新潟,959-1287,新潟県燕市大関１５９
52735-00,プレジニア㈱,03-5798-4522,03-5798-4577,東京,141-0001,東京都品川区北品川６－６－１２
52737-00,藤川伝導機㈱　高崎営業所,048-251-7700,,埼玉,332-0031,埼玉県川口市青木４－１－７　藤川伝導機川口物流センター
52738-00,㈱プリンシプル　鈴鹿事業所,059-392-7841,059-392-7851,三重,513-0818,三重県鈴鹿市安塚町１５１６
52739-00,不二プラスチック㈱,0299-79-2326,0299-79-2490,茨城,300-0605,茨城県稲敷市幸田６７７
52740-00,㈱扶桑理化,084-933-6400,,広島,729-0104,広島県福山市松永町６－２０－１２
52741-00,㈱古河電工アドバンストエンジニアリング,0436-42-1608,,千葉,290-8555,千葉県市原市八幡海岸通６
52743-00,㈱プレシャス,0479-74-3434,0479-74-3434,千葉,289-1511,千葉県山武市松尾町蕪木５３１－１
52743-01,門間　昭悟　様,0479-74-3434,,千葉,289-1106,千葉県八街市榎戸６６１－１６
52745-00,㈱富士美重量,052-351-5601,,愛知,454-0842,愛知県名古屋市中川区宮脇町１丁目１０４
52747-00,ファセルデザイン,0263-40-1525,0263-31-5973,長野,390-0852,長野県松本市島立１６１９－３
52748-00,㈱ﾌｼﾞﾄﾗﾝｽｺｰﾎﾟﾚｰｼｮﾝ 西二区金岡倉庫,0567-57-3855,0567-57-3866,愛知,490-1445,愛知県海部郡飛島村金岡４１
52750-00,株式会社フジル,0545-51-7630,0545-53-8640,静岡,417-0061,静岡県富士市伝法２７０６
52754-00,プラマック㈱中山工場,0565-76-2806,0565-76-2130,愛知,470-0431,愛知県豊田市西中山町又吉洞８番地５５
52754-01,プラマック㈱本社工場,0565-46-1777,0565-46-1770,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1791,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1795,0565-46-1798,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1791,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1791,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1791,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1791,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1791,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1794,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1777,0565-46-1770,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-01,プラマック㈱本社工場,0565-46-1783,0565-46-1784,愛知,470-0371,愛知県豊田市御船町山ノ神５６番３２１
52754-02,プラマック㈱南工場,0565-76-2275,0565-76-3720,愛知,470-0431,愛知県豊田市西中山町向イ原４５－１
52754-02,プラマック㈱南工場,0565-76-2275,0565-76-3720,愛知,470-0431,愛知県豊田市西中山町向イ原４５－１
52756-00,ブルーウェーブテクノロジーズ㈱,0836-39-6236,0836-39-6237,山口,755-0152,山口県宇部市あすとぴあ４－２－１５　山口県新事業創造支援センター８号室
52758-00,藤井商事㈱　広島支店,082-884-1663,082-884-1693,広島,731-4311,広島県安芸郡坂町北新地４丁目１番２０号
52760-00,フォースプランニング,086-463-2433,086-463-2433,岡山,710-0002,岡山県倉敷市生坂１９０９－１９
52761-00,㈱ブレイン,03-3866-7681,03-3866-3165,東京,111-0053,東京都台東区浅草橋５－１－３０　ＢＲビル
52762-00,㈱富士ケンサク　東名吉田営業所,0548-28-6033,0548-33-9033,静岡,421-0304,静岡県榛原郡吉田町神戸１４３７－７
52763-00,㈱不二精機製造所　本社／工場,055-988-1001,055-988-1027,静岡,411-8730,静岡県駿東郡長泉町下土狩８４０
52764-00,㈱福島明工社,0248-65-3111,0248-65-3363,福島,962-0312,福島県須賀川市大久保字北田１６４
52767-00,福田製作所,0766-68-0033,0766-68-1752,富山,932-0064,富山県小矢部市谷坪野６１８
52768-00,㈱フジ梱包,0489-96-6268,,埼玉,340-0813,埼玉県八潮市木曽根７６３
52769-00,藤本科学㈱　水戸営業所,029-224-2812,029-225-3844,茨城,310-0011,茨城県水戸市三の丸１－２－１０
52769-01,藤本科学㈱　筑西営業所,0296-20-1271,0296-20-1273,茨城,308-0802,茨城県筑西市横島231-4
52769-02,藤本科学㈱　新川崎営業所,044-201-6715,044-201-6716,神奈川,212-0024,神奈川県川崎市幸区塚越２－２８０
52773-00,笛吹精工㈱,055-269-6520,055-269-6520,山梨,406-0032,山梨県笛吹市石和町四日市場３２－２－１
52773-01,笛吹精工㈱　勝沼工場,0553-39-9033,,山梨,409-1306,山梨県甲州市勝沼山７１８
52776-00,㈱富士フイルムメディアクレスト,042-530-7421,042-530-8025,東京,205-0023,東京都羽村市神明台２－１０－８
52777-00,ファミリーイナダ株式会社,0859-54-4970,0859-54-4916,鳥取,689-3224,鳥取県西伯郡大山町高田１２２０番地
52778-00,FUNT JAPAN,0568-29-6313,0568-29-6368,愛知,487-0026,愛知県春日井市不二町3丁目1-10
52779-00,富国石油㈱,055-923-3595,055-923-3478,静岡,410-0873,静岡県沼津市大諏訪６５６
52780-00,プラス本店,072-994-7131,072-992-6922,大阪,547-0045,大阪市平野区平野上町２丁目５番９号
52780-01,㈱プラス,072-968-9988,072-968-9974,大阪,581-0862,大阪府八尾市千塚１丁目５－１
52781-00,有限会社　フルタ精機,058-384-9784,058-384-9680,岐阜,509-0145,岐阜県各務原市鵜沼朝日町1丁目37番地
52782-00,フジ矢インターナショナル株式会社,072-963-0825,072-963-0835,大阪,578-0922,大阪府東大阪市松原２－６－３２ フジ矢株式会社内
52784-00,㈱富創,0551-28-2841,0551-28-4261,山梨,400-0105,山梨県甲斐市下今井１５２０
52785-00,ファインネクス㈱,076-462-1881,076-464-1500,富山,930-0281,富山県中新川郡舟橋村舟橋４１５
52785-01,ファインネクス㈱　ＪＭＴ南工場,076-400-7231,076-400-7232,富山,939-0567,富山県富山市水橋北馬場１－８
52786-00,ファインテクノ㈱,0566-45-7337,0566-45-7338,愛知,446-0045,愛知県安城市横山町大山田中９
52787-00,東和ネクサス㈱,0247-43-2305,,福島,963-5407,福島県東白川郡塙町大字西河内字上福沢１番地５
52788-00,福岡空港止め,092-621-6059,,福岡,812-0003,福岡市博多区大字下臼井７６７―１
52792-00,㈱フレックスキャンパス,0564-26-0513,0564-26-0516,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52792-00,㈱フレックスキャンパス,0564-26-0713,,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52792-00,㈱フレックスキャンパス,0564-26-0519,0564-25-8330,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52792-00,㈱フレックスキャンパス,0564-26-0519,MP090-7680-9217,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52792-00,㈱フレックスキャンパス,0564-26-0519,,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52792-00,㈱フレックスキャンパス,0564-26-0513,0564-26-8330,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52792-00,㈱フレックスキャンパス,0564-26-0510,0564-26-8330,愛知,444-2121,愛知県岡崎市鴨田町字末広５０番地
52793-00,㈱富士精工,0277-78-5566,0277-78-5844,群馬,379-2301,群馬県太田市薮塚町２９９１－１
52794-00,藤野商事㈱,084-922-1434,084-931-8460,広島,720-0827,広島県福山市野上町１－４－２　フジノビル４Ｆ
52797-00,双葉電機㈱,086-263-2817,086-263-3011,岡山,702-8512,岡山県岡山市福成２－２３－１８
52799-00,舟津産業㈱,045-785-0411,,神奈川,236-0003,神奈川県横浜市金沢区幸浦２－９－１２
52800-00,㈱ファクシム　本社,092-863-8588,092-863-8611,福岡,814-0165,福岡県福岡市早良区次郎丸５―１―８
52800-01,㈱ファクシム　福岡工場,0942-26-8550,0942-26-8860,福岡,830-1113,福岡県久留米市北野町中２５３１-５
52801-00,㈱ブルボン,0257-23-5128,0257-32-2982,新潟,945-8611,新潟県柏崎市駅前１丁目３番１号
52802-00,福岡酸素㈱　宇城出張所,0964-23-0136,,熊本,869-0405,熊本県宇土市馬之瀬町４５９
52802-01,福岡酸素株式会社　大牟田支社,0944-52-8351,,福岡,836-0062,福岡県大牟田市西港町１丁目７
52803-00,福田機械㈱　水沢営業所,0197-24-1245,,岩手,023-0003,岩手県奥州市水沢区佐倉河字鐙田１０５
52804-00,㈱富士イーエムアイ,0544-59-0808,0544-59-0808,静岡,418-0112,静岡県富士宮市北山５３２１-３
52807-00,不二精工株式会社,06-6472-9409,06-6472-9947,大阪,555-0025,大阪府大阪市西淀川区姫里３丁目５番４号
52808-00,富士見機工㈱,028-663-0721,028-662-7901,栃木,321-0901,栃木県宇都宮市平出町３７３７－１１
52809-00,ＰＬＡＮＳＥＥＤ㈱,058-213-6326,058-213-6327,岐阜,502-0934,岐阜県岐阜市大福町５－１１－２
52811-00,フクダ電子㈱　白井事業所,047-491-7653,047-491-4411,千葉,270-1495,千葉県白井市中３０５－１
52814-00,株式会社富士松,06-6751-1213,06-6751-1228,大阪,544-0002,大阪府大阪市生野区小路１－２０－１９
52816-00,富士航空電子㈱　昭島工場,042-549-9232,,東京,196-8555,東京都昭島市武蔵野３－１－１（日本航空電子工業㈱　内）
52818-00,株式会社フジ技研　ケイエフジー九州,096-294-3355,096-294-3366,熊本,869-1236,熊本県菊池郡大津町杉水９８０－１０
52819-00,株式会社　フジレメック,0256-38-3318,0256-38-7969,新潟,955-0053,新潟県三条市北入蔵1-2-5
52820-00,BLENTEC株式会社,042-785-2045,042-705-9517,,252-0244,神奈川県相模原市中央区田名３２６７－１
52821-00,福田工芸,0575-29-0961,,岐阜,501-3205,岐阜県関市志津野２７９３
52824-00,フタキ機工㈱,0536-23-1131,,愛知,441-1351,愛知県新城市稲木８６９－１５
52825-00,福陵技研（有）,092-707-5560,092-707-5561,福岡,814-0171,福岡県福岡市早良区野芥２－５－７－１０２
52825-01,福陵技研（有）本社,0952-37-8310,0952-37-8311,佐賀,814-0171,佐賀県小城市三日月町久米１４０８－１４
52827-00,㈱ファインテクノ,0565-59-3100,0565-59-3101,愛知,473-0925,愛知県豊田市駒場町西１２－２
52827-01,㈱ＲＯＢＯＳＹＳＴＥＭ,0565-59-2003,0565-59-2004,愛知,473-0925,愛知県豊田市駒場町西１２－１
