客先№,客先名,機種名,機種名称,機械№,ＢＯＸ名,客先住所,郵便番号,電話番号
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-650SIV(B),ESIV06-10217,STEC-NC2C-06S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-650SIV(B),ESIV06-10218,STEC-NC2C-06S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-650SIV(B),ESIV06-10219,STEC-NC2C-06S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10246,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10247,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-650SIV(B),ESIV06-10220,STEC-NC2C-06S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10248,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10249,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10250,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10251,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-800SIV(B),ESIV08-10252,STEC-NC2C-08S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-650SIV(B),ESIV06-10221,STEC-NC2C-06S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-1200SIV(B),ESIV12-10091,STEC-NC2C-12S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
33128-00,テルモ㈱　甲府工場,コンテナストッカー　　　　　　　　　　,ｿｳﾁ,FA-9227,PLC,山梨県中巨摩郡昭和町築地新居１７２７－１,409-3853,055-275-7229
40066-00,㈱南信化成　本社工場,取出ロボット　　　　　　　　　　　　　,GXW-800RVIP,GR08VIP-0298,STEC-520B 03SK(GX08),長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,取出ロボット　　　　　　　　　　　　　,GXW-800SRVIP,GR08VIP-0307,STEC-520B 05SK(GX08),長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
22005-04,セイコーエプソン㈱　広丘事業所,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0775,STEC-520B 05SSK(GX08),長野県塩尻市広丘原新田８０番地,399-0706,0263-52-2552
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0271,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0272,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0273,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7153,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7154,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7155,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7156,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7157,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
20081-02,三協精密㈱　押野工場,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0264,STEC-520B 05CK(GX06),長野県安曇野市明科七貴６５３５－１,399-7104,0263-62-6180
21166-00,㈱信越精密,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0274,STEC-520B 05CK(GX06),長野県東御市田中３１８－８,389-0516,0268-64-5511
31148-00,テクノホライゾン㈱,取出ロボット　　　　　　　　　　　　　,GX-800VIP,G08VIP-0274,STEC-520B 03CSK(GX08),長野県茅野市豊平５２３９－１,391-0213,0266-33-2000
40066-00,㈱南信化成　本社工場,成形品インサート金具確認ユニット　　　,ﾁｬｯｸ,FA-9241,,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
04224-00,オザワプラスチック,エコノコンベア（単相ＡＣ２００Ｖ）　　,SEC3000-4CCY,SECSY-0697,CC-4BIII,長野県上田市小泉１３３７－１０,386-1106,0268-26-1793
52844-00,富士電機メーター㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200SVIP,GW12VIP-0325,STEC-520B 05MSK(GX12),長野県松本市筑摩４－１８－１　富士電機㈱松本工場内4-3A棟,390-0821,0263-28-8764
52844-00,富士電機メーター㈱,エコノコンベア（単相ＡＣ２００Ｖ）　　,SEC4000-5CCY,SECSY-0691,CC-4BIII,長野県松本市筑摩４－１８－１　富士電機㈱松本工場内4-3A棟,390-0821,0263-28-8764
41583-02,㈱日輝製作所　甲府事業所,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0809,STEC-520B 05SSK(GX08),山梨県中央市乙黒１５８－１（山梨ビジネスパーク内）,409-3812,055-242-8102
40340-00,㈱南信精機製作所,材料誤投入防止システム　　　　　　　　,ｿｳﾁ,FA-9257,,長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
14035-01,コロン㈱　山梨工場　第一製造部,取出ロボット　　　　　　　　　　　　　,GXW-1200RVIP,GR12VIP-0213,STEC-520B 03MK(GX12),山梨県笛吹市境川町三椚６８２,406-0846,0552-66-4841
40340-00,㈱南信精機製作所,フープフィーダー　　　　　　　　　　　,HFD-250II,HFD25II-0219,STEC-510 HFD,長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
41583-02,㈱日輝製作所　甲府事業所,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0810,STEC-520B 05SSK(GX08),山梨県中央市乙黒１５８－１（山梨ビジネスパーク内）,409-3812,055-242-8102
61104-00,宮坂樹脂工業,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0814,STEC-520B 05SSK(GX08),長野県千曲市大字千本柳９３－３,389-0803,026-276-2261
33128-00,テルモ㈱　甲府工場,取出ロボット　　　　　　　　　　　　　,IXW-1200SVIP,IW12VIP-0036,STEC-620B 05MK(IX12),山梨県中巨摩郡昭和町築地新居１７２７－１,409-3853,055-275-7229
70104-00,山田精機製作所,取出機　　　　　　　　　　　　　　　　,SP-600FV,SP6F5K-1857,STEC-K4,長野県岡谷市長地小萩２－１０－７,394-0011,0266-27-1155
40340-00,㈱南信精機製作所,通函用エアーブロー装置　　　　　　　　,ｿｳﾁ,FA-9283,,長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
33128-00,テルモ㈱　甲府工場,コンテナストッカー　　　　　　　　　　,ｿｳﾁ,FA-9285,,山梨県中巨摩郡昭和町築地新居１７２７－１,409-3853,055-275-7229
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200VIP,GW12VIP-0358,STEC-520B 03MSK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200VIP,GW12VIP-0359,STEC-520B 03MSK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200VIP,GW12VIP-0360,STEC-520B 03MSK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
40340-00,㈱南信精機製作所,竪型用ランナー取出機　　　　　　　　　,SPV-800RMP,SPV80MP-0004,STEC-LC1SPV(800MP),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
04358-06,オリンパスメディカルシステムズ㈱,パレットチェンジャー　Ａ－４０Ⅲ　　　,A-40III,P-7180,STEC-SC20,東京都八王子市石川町２９５１,192-8507,042-642-2111
21318-00,㈱進和製作所　上田工場,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0845,STEC-520B 05SSK(GX08),長野県上田市住吉３８－７,386-0002,0268-23-2945
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0300,STEC-520B 05CK(GX06),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
00911-00,上松電子㈱　桟工場,取出ロボット　　　　　　　　　　　　　,IXW-800STPVIP,IW80S6P-0003,STEC-620B 06TSK(IX08),長野県木曽郡上松町大字上松１３５０－２,399-5601,0264-52-3180
14035-01,コロン㈱　山梨工場　第一製造部,取出ロボット　　　　　　　　　　　　　,GXW-1800VIP,GW18VIP-0217,STEC-520B 03LLK(GX18),山梨県笛吹市境川町三椚６８２,406-0846,0552-66-4841
34109-00,山梨積水㈱,エコノコンベア　　　　　　　　　　　　,EC2000-4CCY,CCB-1084,CC-4BIII,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,エコノコンベア　　　　　　　　　　　　,EC2000-4CCY,CCB-1085,CC-4BIII,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,セキュリティーＢＯＸゲート潰し装置　　,ｿｳﾁ,FA-9327,,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1500VIP,GW15VIP-0147,STEC-520B 03LK(GX15),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200SRVIP,GR12VIP-0230,STEC-520B 05MK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200SRVIP,GR12VIP-0231,STEC-520B 05MK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200SRVIP,GR12VIP-0232,STEC-520B 05MK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200SRVIP,GR12VIP-0233,STEC-520B 05MK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0309,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0310,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0311,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0873,STEC-520B 05SSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0874,STEC-520B 05SSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7186,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,パレットチェンジャーＩＰ　　　　　　　,IP-70IVSII,P-7187,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
20119-00,㈱坂井化工,エコノコンベア（単相ＡＣ２００Ｖ）　　,SEC2000-3CCY,SECSY-0149,CC-4BIII,長野県千曲市磯部１４６６,389-0806,0262-76-4884
00911-00,上松電子㈱　桟工場,真空トレイチェンジャー（ラック仕様）　,ｿｳﾁ,FA-9350,PLC,長野県木曽郡上松町大字上松１３５０－２,399-5601,0264-52-3180
04358-06,オリンパスメディカルシステムズ㈱,パレットチェンジャー　Ｉ　　　　　　　,I-40IVSII,P-7198,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),東京都八王子市石川町２９５１,192-8507,042-642-2111
04358-06,オリンパスメディカルシステムズ㈱,パレットチェンジャー　Ｉ　　　　　　　,I-40IVSII,P-7199,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),東京都八王子市石川町２９５１,192-8507,042-642-2111
22005-19,PT.EPSON BATAM,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0883,STEC-520B 05SSK(GX08),"JL RAMBUTAN LOT 504-508A, BATAMINDO INDUSTRIAL PARK, MUKA KUNING, BATAM 29433 INDONESIA",,+62-77O-611151
22005-19,PT.EPSON BATAM,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0884,STEC-520B 05SSK(GX08),"JL RAMBUTAN LOT 504-508A, BATAMINDO INDUSTRIAL PARK, MUKA KUNING, BATAM 29433 INDONESIA",,+62-77O-611151
34109-00,山梨積水㈱,給水栓・ＶＳインサートシステム　＃１　,ｿｳﾁ,FA-9356,PLC,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,給水栓・ＶＳインサートシステム　＃２　,ｿｳﾁ,FA-9357,PLC,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,給水栓・ＶＳインサートシステム　＃３　,ｿｳﾁ,FA-9358,PLC,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,給水栓・ＶＳインサートシステム　＃４　,ｿｳﾁ,FA-9359,PLC,山梨県甲府市上条新居町３００,400-0052,055-241-3101
30089-01,タカハタプレシジョン山梨㈱　境川工場,取出ロボット　　　　　　　　　　　　　,IXW-800SPVIP,TTS-0098,STEC-620B,山梨県笛吹市境川町前間田３９０,406-0843,0552-66-5001
21166-00,㈱信越精密,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0318,STEC-520B 05CK(GX06),長野県東御市田中３１８－８,389-0516,0268-64-5511
21166-00,㈱信越精密,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0319,STEC-520B 05CK(GX06),長野県東御市田中３１８－８,389-0516,0268-64-5511
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200VIP,GW12VIP-0395,STEC-520B 03MSK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200RVIP,GR12VIP-0247,STEC-520B 03MK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1800VIP,GW18VIP-0244,STEC-520B 03LLK(GX18),山梨県甲府市上条新居町３００,400-0052,055-241-3101
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0320,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0321,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40066-00,㈱南信化成　本社工場,ゲート折り機ート金具確認ユニット　　　,ﾁｬｯｸ,FA-9371,,長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
34109-00,山梨積水㈱,プールコンベア　　　　　　　　　　　　,PC3000-8CCY,CCB-1133,CC-4BIII,山梨県甲府市上条新居町３００,400-0052,055-241-3101
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0326,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0327,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40340-01,NANSHIN SEIKI (VIETNAM) COMPANY LIMITED,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0329,STEC-520B 05CK(GX06),"LOT B-1E CN,MY PHUOC 3 INDUSTRIAL PARK,CHANH PHU HOA WARD,HO CHI MINH CITY,VIETNAM",,8.43E+11
10058-00,化成工業㈱　長野工場,ナット１２個取インサート取出装置　　　,ｿｳﾁ,FA-9376,STEC-520B,長野県下伊那郡阿智村春日１５３３－１,395-0301,0265-43-2531
10058-00,化成工業㈱　長野工場,エコノコンベア　　　　　　　　　　　　,EC2000-4CCY,CCB-1132,CC-4BIII,長野県下伊那郡阿智村春日１５３３－１,395-0301,0265-43-2531
10058-00,化成工業㈱　長野工場,取出ロボット　　　　　　　　　　　　　,GXW-1500SVIP,GW15VIP-0153,STEC-520B 05LK(GX15),長野県下伊那郡阿智村春日１５３３－１,395-0301,0265-43-2531
40111-00,長野ジェコー㈱,パレットチェンジャー　Ｉ　　　　　　　,I-70IVSII,P-7209,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),長野県長野市若穂川田６１６－１,381-0103,026-282-3553
40066-00,㈱南信化成　本社工場,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0329,STEC-520B 05CSK(GX08),長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
40066-00,㈱南信化成　本社工場,取出ロボット　　　　　　　　　　　　　,GX-600SVIP,G06VIP-0333,STEC-520B 05CK(GX06),長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
02009-01,㈱村上商会　上田工場,取出ロボット　　　　　　　　　　　　　,GXW-1200SVIP,GW12VIP-0421,STEC-520B 05MSK(GX12),長野県上田市上野３２３,386-0003,0268-23-2564
22005-15,セイコーエプソン㈱,レーザー測定器搬送装置　　　　　　　　,ｿｳﾁ,FA-9394,PLC,長野県塩尻市広丘野村５０４,399-0702,0263-52-2552
22005-15,セイコーエプソン㈱,安全柵　　　　　　　　　　　　　　　　,ｿｳﾁ,FA-9395,,長野県塩尻市広丘野村５０４,399-0702,0263-52-2552
22005-15,セイコーエプソン㈱,エコノコンベア　　　　　　　　　　　　,EC1500-3CCY,CCB-1140,CC-4BIII,長野県塩尻市広丘野村５０４,399-0702,0263-52-2552
40340-00,㈱南信精機製作所,フープフィーダー　　　　　　　　　　　,HFD-250III,HFD253-0012,STEC-520B HFD,長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
40066-00,㈱南信化成　本社工場,取出ロボット　　　　　　　　　　　　　,GXW-1200SVIP,GW12VIP-0422,STEC-520B 05MSK(GX12),長野県伊那市美篶六道原８２６８,396-0111,0265-72-0558
02009-01,㈱村上商会　上田工場,エコノコンベア　　　　　　　　　　　　,EC5000-6CCY,CCB-1135,CC-4BIII,長野県上田市上野３２３,386-0003,0268-23-2564
52924-00,"PLASTICOS MAXIMOS,S.A.",ボトル取出機　　　　　　　　　　　　　,BBZ-700,BBZ70-0007,STEC-520 BBZ,"3A. CALLE 0-81 ZONA 1 BOCA DEL MONTE, VILLA CANALES, GUATEMALA.",1069,502-6624-2000
00911-00,上松電子㈱　桟工場,４キャビ用ゲートカット装置　　　　　　,ｿｳﾁ,FA-9389,,長野県木曽郡上松町大字上松１３５０－２,399-5601,0264-52-3180
22864-00,㈱サン．フーズ　韮崎工場,パレタイザー　　　　　　　　　　　　　,PXT-1235,PXT1235-0009,STEC-520P 04LJ(PX-T),山梨県韮崎市龍岡町下條南割６４０,407-0033,0551-22-6654
22864-00,㈱サン．フーズ　韮崎工場,装置（物流）　　　　　　　　　　　　　,ｿｳﾁﾌﾞﾂﾘｭｳ,FA-9392,,山梨県韮崎市龍岡町下條南割６４０,407-0033,0551-22-6654
70356-00,山下電気㈱　山梨工場,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0939,STEC-520B 05SSK(GX08),山梨県南アルプス市戸田９１６－１甲西工業団地,400-0414,055-284-2812
20081-00,三協精密㈱　光成形工場,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0940,STEC-520B 05SSK(GX08),長野県安曇野市明科光５８２,399-7103,0263-62-2294
20081-00,三協精密㈱　光成形工場,取出ロボット　　　　　　　　　　　　　,GXW-800SVIP,GW08VIP-0941,STEC-520B 05SSK(GX08),長野県安曇野市明科光５８２,399-7103,0263-62-2294
41261-00,日進精機㈱　飯田工場,パレットチェンジャー　Ｉ　　　　　　　,I-70IVSII,P-7213,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),長野県飯田市龍江７３３４－１,399-2221,0265-27-2312
41261-00,日進精機㈱　飯田工場,パレットチェンジャー　Ｉ　　　　　　　,I-70IVSII,P-7214,FXｺﾝﾄﾛｰﾗｰII(ﾐﾂﾋﾞｼ),長野県飯田市龍江７３３４－１,399-2221,0265-27-2312
31148-00,テクノホライゾン㈱,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0334,STEC-520B 05CSK(GX08),長野県茅野市豊平５２３９－１,391-0213,0266-33-2000
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200VIP,GW12VIP-0433,STEC-520B 03MSK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,取出ロボット　　　　　　　　　　　　　,GXW-1200RVIP,GR12VIP-0276,STEC-520B 03MK(GX12),山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,エコノコンベア　　　　　　　　　　　　,EC1200-4CCZ,CCB-1154,CC-4BIII,山梨県甲府市上条新居町３００,400-0052,055-241-3101
34109-00,山梨積水㈱,エコノコンベア　　　　　　　　　　　　,EC1200-4CCZ,CCB-1155,CC-4BIII,山梨県甲府市上条新居町３００,400-0052,055-241-3101
40340-00,㈱南信精機製作所,取出ロボット　　　　　　　　　　　　　,GX-800SVIP,G08VIP-0339,STEC-520B 05CSK(GX08),長野県上伊那郡飯島町七久保８１５,399-3705,0265-86-3215
61122-00,㈱みやま,取出ロボット　　　　　　　　　　　　　,GXW-800SRVIP,GR08VIP-0404,STEC-520B 05SK(GX08),長野県茅野市ちの１７６番地５,391-0001,0266-72-3178
00911-00,上松電子㈱　桟工場,真空トレイチェンジャー（ラック仕様）　,ｿｳﾁ,FA-9405,PLC,長野県木曽郡上松町大字上松１３５０－２,399-5601,0264-52-3180
00911-00,上松電子㈱　桟工場,真空トレイチェンジャー（ラック仕様）　,ｿｳﾁ,FA-9406,PLC,長野県木曽郡上松町大字上松１３５０－２,399-5601,0264-52-3180
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-1200SIV(B),ESIV1210199D,STEC-NC2C-12S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-1200SIV(B),ESIV1210200D,STEC-NC2C-12S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-1200SIV(B),ESIV1210201D,STEC-NC2C-12S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ESW-1200SIV(B),WIV12-10198D,STEC-NC2C-12W-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
22005-11,"EPSON PRECISION (PHILIPPINES),INC.",取出機　　　　　　　　　　　　　　　　,ES-650SIV(B),ESIV0610369D,STEC-NC2C-06S-5,LIMA TECHNOLOGY CENTER LIPA CITY BATANGAS PROVINCE 4217 PHILIPPINES,,63-43-981-2000
34109-00,山梨積水㈱,継手インサートシステム金具仮置き台　　,ｿｳﾁ,FA-9409,,山梨県甲府市上条新居町３００,400-0052,055-241-3101
